                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                  1.531,                0.74896,                0.91598,                0.96415,                0.84781,                0.92095,                0.51183,                 1.4693,                0.72808,                0.89681,              0.0005612,              0.0005612,              0.0005612
                    112,                  1.492,                0.75581,                0.92356,                0.94571,                0.85765,                0.91829,                0.52027,                 1.4681,                0.73116,                0.89792,               0.000548,               0.000548,               0.000548
                    113,                  1.601,                0.79422,                0.91343,                0.94013,                0.85747,                0.91514,                0.53253,                 1.4271,                0.71038,                0.89159,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.5679,                0.78431,                0.93099,                 0.9518,                0.85676,                0.91835,                0.52854,                 1.4235,                0.70189,                0.88752,              0.0005216,              0.0005216,              0.0005216
                    115,                 1.7357,                0.80474,                0.93716,                0.96525,                 0.8454,                0.91399,                 0.5232,                 1.4353,                0.71034,                0.88719,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.5417,                0.76198,                0.90584,                0.97233,                0.84955,                0.91965,                0.55443,                 1.3639,                0.69761,                0.87747,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.4491,                 0.7473,                0.91214,                0.97139,                0.85104,                0.92058,                0.55945,                 1.3566,                0.69907,                0.87567,               0.000482,               0.000482,               0.000482
                    118,                 1.5154,                0.75825,                0.90804,                0.96937,                0.85011,                0.92176,                0.55376,                 1.3768,                0.70713,                0.87854,              0.0004688,              0.0004688,              0.0004688
                    119,                 1.4685,                0.76527,                  0.918,                 0.9704,                0.85111,                0.92302,                0.54689,                 1.3921,                0.71252,                0.88169,              0.0004556,              0.0004556,              0.0004556
                    120,                  1.552,                0.77893,                0.91527,                0.97292,                0.85318,                0.92378,                0.55638,                 1.3474,                0.69784,                0.87835,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.4644,                 0.7506,                0.90186,                0.96577,                0.85765,                 0.9241,                0.55657,                 1.3492,                0.70084,                0.87866,              0.0004292,              0.0004292,              0.0004292
                    122,                 1.4653,                0.75626,                0.89948,                0.94127,                0.87528,                0.92157,                0.54962,                 1.3581,                 0.6988,                0.88013,               0.000416,               0.000416,               0.000416
                    123,                 1.4682,                0.76264,                0.91464,                0.96018,                 0.8675,                0.92309,                0.54083,                 1.3731,                0.70403,                0.88373,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.4471,                0.77181,                0.90779,                0.96363,                0.87019,                0.92641,                0.53588,                 1.3921,                0.70289,                0.88645,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.4362,                0.72984,                0.89705,                0.96547,                0.87599,                0.92523,                0.53979,                 1.3625,                0.68695,                0.88243,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.4523,                0.75401,                0.90811,                0.96462,                0.87735,                0.92595,                0.53831,                  1.354,                0.67358,                0.87941,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.4103,                 0.7296,                0.91071,                0.97189,                0.86668,                0.92519,                0.54979,                 1.3464,                0.66539,                0.87813,                0.00035,                0.00035,                0.00035
                    128,                 1.4458,                0.73516,                0.90364,                0.97104,                0.86392,                0.92536,                0.54874,                 1.3558,                0.66521,                 0.8781,              0.0003368,              0.0003368,              0.0003368
                    129,                 1.4979,                  0.747,                0.90587,                 0.9707,                0.86003,                0.92363,                0.55542,                 1.3494,                0.66217,                 0.8767,              0.0003236,              0.0003236,              0.0003236
                    130,                 1.4379,                 0.7566,                0.88948,                 0.9727,                0.85765,                0.92307,                0.56139,                 1.3377,                0.65883,                 0.8759,              0.0003104,              0.0003104,              0.0003104
                    131,                 1.4519,                0.75678,                 0.8962,                0.97563,                0.85676,                0.92196,                0.56221,                 1.3312,                0.66059,                0.87617,              0.0002972,              0.0002972,              0.0002972
                    132,                 1.3835,                0.70639,                0.88884,                 0.9697,                0.85676,                0.92157,                0.56042,                 1.3125,                0.66512,                0.87559,               0.000284,               0.000284,               0.000284
                    133,                 1.4979,                 0.7503,                 0.9264,                0.96958,                0.85609,                0.91975,                0.56423,                 1.2994,                0.66411,                 0.8752,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.4227,                0.73046,                0.89405,                0.97395,                0.85765,                0.91971,                0.56553,                  1.294,                0.66435,                0.87516,              0.0002576,              0.0002576,              0.0002576
                    135,                 1.4873,                0.74369,                0.90906,                0.97455,                0.85687,                0.91917,                0.55984,                 1.3218,                0.67386,                0.87876,              0.0002444,              0.0002444,              0.0002444
                    136,                 1.4579,                0.73512,                0.89108,                  0.976,                0.85855,                0.92537,                0.54482,                 1.3764,                0.69272,                0.88669,              0.0002312,              0.0002312,              0.0002312
                    137,                 1.4139,                0.71841,                0.91169,                 0.9751,                0.85497,                0.92668,                0.55407,                 1.3611,                0.68566,                0.88505,               0.000218,               0.000218,               0.000218
                    138,                 1.3906,                0.71483,                0.91226,                0.97733,                0.84901,                0.92736,                  0.559,                 1.3369,                0.67367,                0.88229,              0.0002048,              0.0002048,              0.0002048
                    139,                 1.3831,                0.70436,                0.90137,                0.96063,                0.85676,                0.92743,                0.56098,                 1.3154,                0.66174,                 0.8784,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.4429,                0.73726,                0.91546,                0.95478,                0.86954,                0.92276,                0.55553,                  1.307,                0.65206,                0.87396,              0.0001784,              0.0001784,              0.0001784
                    141,                 1.4418,                0.90402,                0.91461,                0.95491,                 0.8684,                0.92229,                0.55631,                 1.3097,                0.65537,                0.87218,              0.0001652,              0.0001652,              0.0001652
                    142,                 1.4038,                 0.8105,                0.91606,                0.95567,                0.86856,                0.92225,                0.55686,                   1.31,                0.65949,                0.87113,               0.000152,               0.000152,               0.000152
                    143,                 1.3851,                 0.8499,                0.87736,                0.95748,                0.86687,                0.91999,                0.55779,                 1.3113,                0.66233,                0.86948,              0.0001388,              0.0001388,              0.0001388
                    144,                 1.3824,                0.77875,                0.90434,                0.96957,                0.85567,                0.91743,                0.55557,                 1.3374,                0.67045,                0.87105,              0.0001256,              0.0001256,              0.0001256
                    145,                 1.4047,                0.80927,                 0.8996,                0.97058,                0.85666,                 0.9193,                0.55339,                  1.354,                0.67728,                 0.8729,              0.0001124,              0.0001124,              0.0001124
                    146,                 1.4241,                0.78214,                0.91628,                0.96921,                0.85497,                0.91877,                0.55218,                 1.3631,                0.68475,                0.87434,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                  1.395,                0.78373,                 0.9037,                0.97102,                0.85586,                0.91924,                0.54893,                 1.3666,                0.68859,                 0.8748,                8.6e-05,                8.6e-05,                8.6e-05
                    148,                 1.3698,                0.76188,                0.91545,                0.96627,                0.85765,                0.91893,                0.54758,                 1.3643,                0.69306,                 0.8746,               7.28e-05,               7.28e-05,               7.28e-05
                    149,                 1.3484,                0.76365,                0.90525,                0.96605,                0.85765,                0.91893,                0.54786,                 1.3594,                0.69188,                0.87363,               5.96e-05,               5.96e-05,               5.96e-05
                    150,                 1.3444,                0.75632,                0.89914,                0.96633,                0.85765,                0.91915,                0.55032,                 1.3518,                 0.6899,                0.87221,               4.64e-05,               4.64e-05,               4.64e-05
